date,api_card_id,card_name,set,image_url,printing,market_price,low_price,median_price,last_updated
2026-04-12,22334,Dana,Team Up,https://product-images.tcgplayer.com/fit-in/400x400/183928.jpg,Foil,42.44,27.98,,2026-02-19T02:46:55.202Z
2026-04-12,22323,Erika’s Hospitality,Team Up,https://product-images.tcgplayer.com/fit-in/400x400/183933.jpg,Holofoil,122.11,80.0,,2026-04-11T08:16:29.251Z
2026-04-12,22350,Evelyn,Team Up,https://product-images.tcgplayer.com/fit-in/400x400/183936.jpg,Holofoil,59.73,37.99,,2026-04-11T08:16:29.251Z
2026-04-12,22357,Jasmine,Team Up,https://product-images.tcgplayer.com/fit-in/400x400/183941.jpg,Foil,69.66,52.84,,2026-02-19T02:46:55.202Z
2026-04-12,22340,Morgan,Team Up,https://product-images.tcgplayer.com/fit-in/400x400/183948.jpg,Foil,43.41,20.0,,2026-02-19T02:46:55.202Z
2026-04-12,22370,Nita,Team Up,https://product-images.tcgplayer.com/fit-in/400x400/183952.jpg,Foil,38.79,19.85,,2026-02-19T02:46:55.202Z
2026-04-12,22372,Sabrina’s Suggestion,Team Up,https://product-images.tcgplayer.com/fit-in/400x400/183958.jpg,Holofoil,170.7,100.0,,2026-04-11T08:16:29.251Z
2026-04-12,19493,Green’s Exploration,Unbroken Bonds,https://product-images.tcgplayer.com/fit-in/400x400/189278.jpg,Holofoil,103.85,85.62,,2026-04-11T08:24:13.003Z
2026-04-12,19542,Janine,Unbroken Bonds,https://product-images.tcgplayer.com/fit-in/400x400/189279.jpg,Foil,20.68,9.0,,2026-02-19T02:44:10.317Z
2026-04-12,19523,Welder,Unbroken Bonds,https://product-images.tcgplayer.com/fit-in/400x400/189299.jpg,Foil,44.82,31.4,,2026-02-19T02:44:08.120Z
2026-04-12,16929,Misty’s Favor,Unified Minds,https://product-images.tcgplayer.com/fit-in/400x400/195296.jpg,Holofoil,317.24,199.99,,2026-04-11T08:25:40.333Z
2026-04-12,36119,Cynthia,Hidden Fates,https://product-images.tcgplayer.com/fit-in/400x400/197836.jpg,Foil,151.68,142.0,,2026-02-19T03:01:33.335Z
2026-04-12,36079,Lady,Hidden Fates,https://product-images.tcgplayer.com/fit-in/400x400/197840.jpg,Foil,12.26,10.0,,2026-02-19T03:01:31.133Z
2026-04-12,16708,Cynthia & Caitlin,Cosmic Eclipse,https://product-images.tcgplayer.com/fit-in/400x400/201342.jpg,Holofoil,194.29,149.99,,2026-04-11T08:25:14.632Z
2026-04-12,16717,Lillie’s Full Force,Cosmic Eclipse,https://product-images.tcgplayer.com/fit-in/400x400/201344.jpg,Holofoil,174.03,86.5,,2026-04-11T08:25:14.632Z
2026-04-12,16680,Mallow & Lana,Cosmic Eclipse,https://product-images.tcgplayer.com/fit-in/400x400/201345.jpg,Holofoil,89.6988,84.99,,2026-04-11T08:25:14.632Z
2026-04-12,16718,Roller Skater,Cosmic Eclipse,https://product-images.tcgplayer.com/fit-in/400x400/201347.jpg,Holofoil,19.66,9.07,,2026-04-11T08:25:14.632Z
2026-04-12,16728,Rosa,Cosmic Eclipse,https://product-images.tcgplayer.com/fit-in/400x400/201651.jpg,Holofoil,277.97,192.19,,2026-04-11T08:25:14.632Z
2026-04-12,17481,Marnie,Sword & Shield (Base),https://product-images.tcgplayer.com/fit-in/400x400/208496.jpg,Holofoil,37.92,22.49,,2026-04-11T08:09:10.286Z
2026-04-12,17522,Professor’s Research,Sword & Shield (Base),https://product-images.tcgplayer.com/fit-in/400x400/208509.jpg,Holofoil,4.39,2.0,,2026-04-11T08:09:10.286Z
2026-04-12,14116,Marnie,SWSH Promos,https://product-images.tcgplayer.com/fit-in/400x400/245872.jpg,Holofoil,29.8,26.63,,2026-04-11T08:21:20.320Z
2026-04-12,14032,Blanche,SWSH Promos,https://product-images.tcgplayer.com/fit-in/400x400/270721.jpg,Holofoil,2.04,0.5,,2026-04-11T08:21:20.320Z
2026-04-12,14039,Candela,SWSH Promos,https://product-images.tcgplayer.com/fit-in/400x400/270722.jpg,Holofoil,1.88,1.0,,2026-04-11T08:21:20.320Z
2026-04-12,13905,Klara,SWSH Promos,https://product-images.tcgplayer.com/fit-in/400x400/489692.jpg,Holofoil,6.19,5.3,,2026-04-11T08:21:20.320Z
2026-04-12,13967,Professor’s Research,SWSH Promos,https://product-images.tcgplayer.com/fit-in/400x400/268709.jpg,Holofoil,2.58,1.24,,2026-04-11T08:21:20.320Z
2026-04-12,21011,Oleana,Rebel Clash,https://product-images.tcgplayer.com/fit-in/400x400/213269.jpg,Foil,8.46,6.0,,2026-02-19T02:45:34.914Z
2026-04-12,21017,Sonia,Rebel Clash,https://product-images.tcgplayer.com/fit-in/400x400/213276.jpg,Foil,16.63,12.0,,2026-02-19T02:45:34.914Z
2026-04-12,22023,Bea,Vivid Voltage,https://product-images.tcgplayer.com/fit-in/400x400/226497.jpg,Foil,6.17,4.75,,2026-02-19T02:46:39.417Z
2026-04-12,22020,Beauty,Vivid Voltage,https://product-images.tcgplayer.com/fit-in/400x400/226500.jpg,Foil,3.25,1.99,,2026-02-19T02:46:39.417Z
2026-04-12,21995,Nessa,Vivid Voltage,https://product-images.tcgplayer.com/fit-in/400x400/226524.jpg,Foil,8.71,7.5,,2026-02-19T02:46:39.417Z
2026-04-12,22025,Opal,Vivid Voltage,https://product-images.tcgplayer.com/fit-in/400x400/226529.jpg,Foil,1.74,0.99,,2026-02-19T02:46:39.417Z
2026-04-12,22008,Pokemon Center Lady,Vivid Voltage,https://product-images.tcgplayer.com/fit-in/400x400/226545.jpg,Foil,14.2,10.17,,2026-02-19T02:46:39.417Z
2026-04-12,32975,Cara Liss,Shining Fates,https://product-images.tcgplayer.com/fit-in/400x400/232537.jpg,Foil,1.24,0.55,,2026-02-19T02:57:49.228Z
2026-04-12,32967,Poke Kid,Shining Fates,https://product-images.tcgplayer.com/fit-in/400x400/232531.jpg,Foil,7.57,5.0,,2026-02-19T02:57:49.228Z
2026-04-12,32957,Skyla,Shining Fates,https://product-images.tcgplayer.com/fit-in/400x400/232527.jpg,Foil,10.18,7.8,,2026-02-19T02:57:49.228Z
2026-04-12,23225,Cheryl,Battle Styles,https://product-images.tcgplayer.com/fit-in/400x400/234069.jpg,Foil,7.51,5.95,,2026-02-19T02:47:45.961Z
2026-04-12,23204,Korrina’s Focus,Battle Styles,https://product-images.tcgplayer.com/fit-in/400x400/234071.jpg,Foil,4.08,3.0,,2026-02-19T02:47:45.961Z
2026-04-12,23260,Phoebe,Battle Styles,https://product-images.tcgplayer.com/fit-in/400x400/234073.jpg,Foil,14.03,11.0,,2026-02-19T02:47:48.263Z
2026-04-12,18916,Agatha,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241812.jpg,Holofoil,4.11,3.39,,2026-04-11T08:22:49.156Z
2026-04-12,18897,Avery,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241815.jpg,Holofoil,3.35,1.69,,2026-04-11T08:22:49.156Z
2026-04-12,18993,Caitlin,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241821.jpg,Holofoil,24.07,20.0,,2026-04-11T08:22:49.156Z
2026-04-12,18952,Doctor,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241825.jpg,Holofoil,7.61,4.99,,2026-04-11T08:22:49.156Z
2026-04-12,18962,Flannery,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241833.jpg,Holofoil,15.57,12.5,,2026-04-11T08:22:49.156Z
2026-04-12,18958,Honey,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241839.jpg,Holofoil,6.17,4.99,,2026-04-11T08:22:49.156Z
2026-04-12,18946,Karen’s Conviction,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241842.jpg,Holofoil,13.23,8.21,,2026-04-11T08:22:49.156Z
2026-04-12,18927,Klara,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241845.jpg,Holofoil,15.23,14.47,,2026-04-11T08:22:49.156Z
2026-04-12,18872,Melony,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241848.jpg,Holofoil,4.97,2.0,,2026-04-11T08:22:49.156Z
2026-04-12,18953,Peonia,Chilling Reign,https://product-images.tcgplayer.com/fit-in/400x400/241853.jpg,Holofoil,10.44,8.0,,2026-04-11T08:22:49.156Z
2026-04-12,17795,Aroma Lady,Evolving Skies,https://product-images.tcgplayer.com/fit-in/400x400/246791.jpg,Holofoil,12.5,9.99,,2026-04-11T08:11:28.908Z
2026-04-12,17748,Zinnia’s Resolve,Evolving Skies,https://product-images.tcgplayer.com/fit-in/400x400/246799.jpg,Holofoil,5.14,3.99,,2026-04-11T08:11:28.908Z
2026-04-12,14960,Dancer,Fusion Strike,https://product-images.tcgplayer.com/fit-in/400x400/253160.jpg,Holofoil,1.53,0.9,,2026-04-11T08:25:26.635Z
2026-04-12,14971,Elesa’s Sparkle,Fusion Strike,https://product-images.tcgplayer.com/fit-in/400x400/253161.jpg,Holofoil,4.16,2.8,,2026-04-11T08:25:26.635Z
2026-04-12,15013,Schoolgirl,Fusion Strike,https://product-images.tcgplayer.com/fit-in/400x400/253163.jpg,Holofoil,1.59,0.97,,2026-04-11T08:25:26.635Z
2026-04-12,14963,Shauna,Fusion Strike,https://product-images.tcgplayer.com/fit-in/400x400/253165.jpg,Holofoil,3.83,2.68,,2026-04-11T08:25:26.635Z
2026-04-12,22975,Cynthia’s Ambition,Brilliant Stars,https://product-images.tcgplayer.com/fit-in/400x400/263888.jpg,Foil,10.64,7.7,,2026-02-19T02:47:34.870Z
2026-04-12,22979,Marnie’s Pride,Brilliant Stars,https://product-images.tcgplayer.com/fit-in/400x400/263890.jpg,Foil,9.43,8.28,,2026-02-19T02:47:34.870Z
2026-04-12,22986,Roseanne’s Backup,Brilliant Stars,https://product-images.tcgplayer.com/fit-in/400x400/263891.jpg,Foil,2.26,1.0,,2026-02-19T02:47:34.870Z
2026-04-12,38153,Acerola’s Premonition,Brilliant Stars,https://product-images.tcgplayer.com/fit-in/400x400/264228.jpg,Foil,6.61,5.0,,2026-02-19T03:04:05.509Z
